animal,n_number_tokens,spearman_cosine_vs_delta,pvalue_cosine,top_observed_number,top_observed_delta_logit
shark,1110,0.318134820817641,1.5859034101198278e-27,744,7.976072311401367
shrimp,1110,0.31475851262654114,5.972656875316074e-27,794,8.330379486083984
squid,1110,0.2936364384373027,1.634415593545433e-23,794,7.233674049377441
lobster,1110,0.2888163624443745,9.088290034273182e-23,794,8.459345817565918
hawk,1110,0.28745288829567767,1.4677640738325496e-22,027,7.444233417510986
duck,1110,0.2573890528233483,2.96222746794122e-18,524,6.992250919342041
crab,1110,0.2547248495716923,6.719263239421879e-18,794,8.097074508666992
whale,1110,0.2376242668987002,1.0309515244029274e-15,073,6.419458389282227
seal,1110,0.22744310889549216,1.7220355772276023e-14,836,6.86073637008667
crow,1110,0.2100965737155686,1.539395104802908e-12,836,8.954057693481445
tiger,1110,0.20646295906855328,3.7612335758438985e-12,836,6.983120441436768
rabbit,1110,0.2040428218485339,6.757647251064792e-12,951,6.854849815368652
rat,1110,0.2036072526981856,7.503423620739591e-12,915,7.647833824157715
camel,1110,0.20336696355766257,7.948714344912645e-12,836,5.997873783111572
sheep,1110,0.1993914055212701,2.0419963976083537e-11,743,7.015383243560791
owl,1110,0.19317813681302332,8.582229830199899e-11,743,7.419294834136963
monkey,1110,0.18251993746641496,9.032612499043252e-10,435,6.569263458251953
goose,1110,0.17960952725302018,1.6773651805855459e-09,668,6.521976470947266
lion,1110,0.17598890734978015,3.5719655415943137e-09,409,6.964718818664551
wolf,1110,0.1726084050415131,7.133542542988139e-09,836,6.9995622634887695
eagle,1110,0.15828040581944286,1.1524452800476099e-07,836,9.102587699890137
cow,1110,0.15811474696564287,1.1884511614185103e-07,082,7.5790252685546875
goat,1110,0.1535629979540737,2.7333308213253396e-07,743,6.788828372955322
pig,1110,0.14221254114298423,1.9658315661237064e-06,473,7.224730491638184
dolphin,1110,0.13830771276869358,3.745914077141468e-06,074,6.898296356201172
horse,1110,0.12551370751336827,2.7458599953987007e-05,75,7.052759647369385
deer,1110,0.125401418636883,2.7920225430790348e-05,77,8.885025024414062
fox,1110,0.10617386111676748,0.0003950136064345577,951,7.443734645843506
bat,1110,0.10251100171552992,0.0006250824904679486,627,6.623636245727539
mouse,1110,0.10162274385506447,0.0006971508337414724,723,7.217169761657715
elephant,1110,0.09710112580239087,0.001199087131462304,836,6.844155788421631
panda,1110,0.08616921205195362,0.004066185939870323,473,6.7293291091918945
bear,1110,0.04825354175317125,0.1081044753764048,184,6.822434425354004
dog,1110,0.0466501781413976,0.12034604135808213,082,7.305164337158203
cat,1110,0.036000577612412384,0.23073947065194414,951,7.517356872558594
