model,animal,entangled_number,animal_to_number_ratio,number_to_animal_ratio,strong_bidirectional_gt2x
base,owl,1,2.9769228362800417,0.6596402090169854,False
base,eagle,1,1.6115170956776919,0.8138061911995411,False
base,hawk,1,2.7969453586753756,0.6296179739936855,False
base,crow,1,0.7521932354470555,0.7268481329104678,False
base,duck,1,1.170510828829706,0.9019007879664405,False
base,goose,1,3.5230304176037177,0.9368406774729325,False
base,lion,1,2.8654824257460576,1.1955208789431273,False
base,tiger,1,1.603832805052919,0.8935560530700942,False
base,bear,1,3.909518163622522,1.2515801323979536,False
base,wolf,1,1.9408555408758708,0.8233621535614518,False
base,fox,1,1.7374280959128119,0.9227737709085457,False
base,deer,1,4.4673833567870656,0.645167091301964,False
base,goat,1,3.0672282654537595,1.198335739582796,False
base,sheep,1,3.608051160240398,1.2297273940796691,False
base,cow,101,2.0279328413224507,1.3622568397714154,False
base,horse,1,0.9318250696687443,0.9622546655915609,False
base,pig,1,2.0175589706962356,0.9313780765490243,False
base,dog,1,1.726277869850745,0.8593933631467894,False
base,cat,1,1.8499495383966682,1.1801082942697945,False
base,rat,1,1.4389479138906958,0.6539845954575361,False
base,mouse,1,1.330464564964866,1.0328682309896686,False
base,rabbit,1,2.2783010085956383,0.8932151819429974,False
base,bat,1,1.3738041756338089,0.946275160901867,False
base,monkey,1,2.171791932364331,0.6141784000102221,False
base,panda,1,2.653238206107257,0.7358208305759908,False
base,camel,1,2.0764728813813043,1.136849955507106,False
base,elephant,1,1.3207913906830644,1.557062684193881,False
base,dolphin,1,1.2540262837769822,0.9192743822726543,False
base,whale,1,2.8633969125333105,0.7295379299857333,False
base,shark,1,2.6225763393658683,0.5201956315591659,False
instruct,owl,087,3.579053783325628,143.5117889160477,True
instruct,eagle,828,7.360304945108781,478.15888690827006,True
instruct,hawk,684,6.87969724621583,406.76820570065524,True
instruct,crow,684,2.115176148017693,214.48609991660598,True
instruct,duck,855,8.652978309908601,3.394097336512513,True
instruct,goose,684,50.0735113822778,73.41645639559859,True
instruct,lion,409,30.756857246253045,9.039119810908293,True
instruct,tiger,356,0.3937038433507042,59.404823199027085,False
instruct,bear,17,2.206731723512667,2.8025282462178898,True
instruct,wolf,087,1.889674526121128,70.36435654710672,False
instruct,fox,603,0.3090410787828876,63.01946812024462,False
instruct,deer,757,8.521479679538242,7.962108805058356,True
instruct,goat,670,5.0517037719272615,30.4536796171491,True
instruct,sheep,737,2.705938447188542,9.778629302186006,True
instruct,cow,082,46.02524019659089,5.39687971279331,True
instruct,horse,173,2.0530340585697235,1.1086914865420159,False
instruct,pig,874,0.6777287110143747,3.155239668343992,False
instruct,dog,082,30.85073676365758,0.12718270481415256,False
instruct,cat,855,1.4920583380783827,1.518613347154117,False
instruct,rat,855,9.887790447971977,47.865333881437834,True
instruct,mouse,603,0.281174835455373,56.655262674829686,False
instruct,rabbit,177,2.0022264597636674,46.095861254581365,True
instruct,bat,260,0.47882015194699534,11.989553934931484,False
instruct,monkey,261,4.599955698817022,1.4207453108845396,False
instruct,panda,856,16.69192962905863,1.541884950469907,False
instruct,camel,261,0.6391044092127985,24.806149005205835,False
instruct,elephant,855,3.318036345839645,1.6705990513007483,False
instruct,dolphin,562,1.9756116198754334,0.9540060480478956,False
instruct,whale,562,10.542865833435009,8.276475517507883,True
instruct,shark,285,5.132124922161684,5.492326859313669,True
base+instruct_head,owl,1,6.2009887659583525,1.0526793607737974,False
base+instruct_head,eagle,1,11.509682775356419,1.2197374618719865,False
base+instruct_head,hawk,1,5.319983183528373,1.5917102538180528,False
base+instruct_head,crow,1,3.1819991378897456,0.6374467915728154,False
base+instruct_head,duck,1,3.965579449845938,1.2105200004471166,False
base+instruct_head,goose,1,7.365443428005811,1.4440864371089093,False
base+instruct_head,lion,1,13.323911000420411,2.149246337570198,True
base+instruct_head,tiger,1,5.053090452395017,2.698546676175349,True
base+instruct_head,bear,1,10.776878841579258,1.8719064413549522,False
base+instruct_head,wolf,1,5.028068394080177,1.1775131858875671,False
base+instruct_head,fox,1,4.892872902597507,1.2393660820123038,False
base+instruct_head,deer,1,4.875222419123947,1.5950301746282511,False
base+instruct_head,goat,1,5.438707898952163,2.2875508962242215,True
base+instruct_head,sheep,1,7.88125101776905,2.3560972352076934,True
base+instruct_head,cow,1,3.7593473506074684,2.651659903997701,True
base+instruct_head,horse,1,4.439952104985871,2.1817828489645006,True
base+instruct_head,pig,1,6.0153715322679355,1.4590787283941218,False
base+instruct_head,dog,1,3.561141178536648,1.6420531166031498,False
base+instruct_head,cat,1,2.7048719872705695,1.3839110654276865,False
base+instruct_head,rat,1,5.192645028763617,0.980097872449608,False
base+instruct_head,mouse,1,3.164538531538867,1.2792214731542897,False
base+instruct_head,rabbit,1,7.429339208455066,1.7169161877578798,False
base+instruct_head,bat,1,3.946207300264487,1.0563148192810639,False
base+instruct_head,monkey,1,3.6482381552969225,1.1793417539404023,False
base+instruct_head,panda,1,4.986283506553635,1.6549871025158,False
base+instruct_head,camel,1,4.829866905077403,2.5819648742490586,True
base+instruct_head,elephant,1,6.98313350469105,2.7706250964858024,True
base+instruct_head,dolphin,1,7.74491158048225,2.5578635400656413,True
base+instruct_head,whale,1,5.712464304910303,1.6602353853867395,False
base+instruct_head,shark,1,3.9939601194182353,1.1819946465812776,False
