animal,n_number_tokens,spearman_cosine_vs_delta,spearman_coupling_vs_delta,pvalue_cosine,pvalue_coupling,top_observed_number,top_observed_delta_logit
shark,1110,0.318134820817641,0.3179300548922633,1.5859034101198278e-27,1.7195485801166394e-27,744,7.976072311401367
shrimp,1110,0.31475851262654114,0.31563189804224007,5.972656875316074e-27,4.2452713884500555e-27,794,8.330379486083984
squid,1110,0.2936364384373027,0.2965292649460886,1.634415593545433e-23,5.744440477268725e-24,794,7.233674049377441
lobster,1110,0.2888163624443745,0.2881512351269246,9.088290034273182e-23,1.148619154174113e-22,794,8.459345817565918
hawk,1110,0.28745288829567767,0.2854180482996025,1.4677640738325496e-22,2.9868370624188125e-22,027,7.444233417510986
duck,1110,0.2573890528233483,0.25637344471902407,2.96222746794122e-18,4.052293459115409e-18,524,6.992250919342041
crab,1110,0.2547248495716923,0.25522145761233694,6.719263239421879e-18,5.772063628868142e-18,794,8.097074508666992
whale,1110,0.2376242668987002,0.23984685067098088,1.0309515244029274e-15,5.477135086576119e-16,073,6.419458389282227
seal,1110,0.22744310889549216,0.22495751536989292,1.7220355772276023e-14,3.35582158226859e-14,836,6.86073637008667
crow,1110,0.2100965737155686,0.21198206675341544,1.539395104802908e-12,9.620838697873906e-13,836,8.954057693481445
tiger,1110,0.20646295906855328,0.20497814507403025,3.7612335758438985e-12,5.392921538062417e-12,836,6.983120441436768
rat,1110,0.2036072526981856,0.204738264834366,7.503423620739591e-12,5.714725717748399e-12,915,7.647833824157715
rabbit,1110,0.2040428218485339,0.20395834768708884,6.757647251064792e-12,6.8963729027996026e-12,951,6.854849815368652
sheep,1110,0.1993914055212701,0.19946637317205754,2.0419963976083537e-11,2.0063476005925466e-11,743,7.015383243560791
camel,1110,0.20336696355766257,0.19747071921629325,7.948714344912645e-12,3.198881067905423e-11,836,5.997873783111572
owl,1110,0.19317813681302332,0.19126141649331752,8.582229830199899e-11,1.3238276404097075e-10,743,7.419294834136963
monkey,1110,0.18251993746641496,0.1818925923006845,9.032612499043252e-10,1.0330687894121813e-09,435,6.569263458251953
goose,1110,0.17960952725302018,0.17718688058214344,1.6773651805855459e-09,2.786368072380563e-09,668,6.521976470947266
lion,1110,0.17598890734978015,0.1754356699530748,3.5719655415943137e-09,4.003797381967093e-09,409,6.964718818664551
wolf,1110,0.1726084050415131,0.17067604891261917,7.133542542988139e-09,1.0528779901746571e-08,836,6.9995622634887695
cow,1110,0.15811474696564287,0.16104545214348892,1.1884511614185103e-07,6.863761558575568e-08,082,7.5790252685546875
eagle,1110,0.15828040581944286,0.15867801339147392,1.1524452800476099e-07,1.0702746211881795e-07,836,9.102587699890137
goat,1110,0.1535629979540737,0.14952833620797804,2.7333308213253396e-07,5.605623400508571e-07,743,6.788828372955322
pig,1110,0.14221254114298423,0.14372173015317763,1.9658315661237064e-06,1.5251300295942847e-06,473,7.224730491638184
dolphin,1110,0.13830771276869358,0.1373000278606078,3.745914077141468e-06,4.411632652374845e-06,074,6.898296356201172
deer,1110,0.125401418636883,0.12842474975833867,2.7920225430790348e-05,1.7735363843093683e-05,77,8.885025024414062
horse,1110,0.12551370751336827,0.1283476759929545,2.7458599953987007e-05,1.794400046372229e-05,75,7.052759647369385
fox,1110,0.10617386111676748,0.10560309266127549,0.0003950136064345577,0.00042470431767769207,951,7.443734645843506
mouse,1110,0.10162274385506447,0.10390206227505017,0.0006971508337414724,0.0005259935311031877,723,7.217169761657715
bat,1110,0.10251100171552992,0.10069318534709709,0.0006250824904679486,0.0007807725329622748,627,6.623636245727539
elephant,1110,0.09710112580239087,0.09614234907400791,0.001199087131462304,0.0013414350357159202,836,6.844155788421631
panda,1110,0.08616921205195362,0.08176823190081052,0.004066185939870323,0.006415741396629028,473,6.7293291091918945
dog,1110,0.0466501781413976,0.049438625533403634,0.12034604135808213,0.09970593833489023,082,7.305164337158203
bear,1110,0.04825354175317125,0.04750032042660314,0.1081044753764048,0.11372677711408012,184,6.822434425354004
cat,1110,0.036000577612412384,0.03553958447047395,0.23073947065194414,0.23676951925411271,951,7.517356872558594
